Id,Label,timeset,Autor,modularity_class,Time,Time II,Death,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Birth,Movimiento Literario,Lopez Bueno 2006,Pedraza,Years,modularity2
AgustinSalazar_Sonetos,AgustinSalazar_Sonetos,"<[1636.0, 1675.0]>",[AgustinSalazar],0,1636,1675,1675,7,140,4,0.449438,0.525,2.963.356,1636,Baroque,Continuity and Dispersion,,39,0
BartolomeArgensola_Sonetos,BartolomeArgensola_Sonetos,"<[1562.0, 1700.0]>",[BartolomeArgensola],0,1562,1631,1631,14,374,3,0.555556,0.65,64.552.412,1562,Baroque,Transition,Baroque,69,0
FranciscodeMedrano_Sonetos,FranciscodeMedrano_Sonetos,"<[1570.0, 1594.0]>",[FranciscodeMedrano],0,1570,1607,1607,11,124,3,0.533333,0.6125,49.495.559,1570,Transition,Transition,Baroque,37,0
JosephdeLitalayCastelvi_Sonetos,JosephdeLitalayCastelvi_Sonetos,"<[1672.0, 1701.0]>",[JosephdeLitalayCastelvi],0,1672,1701,1701,14,448,3,0.547945,0.645833,75.355.112,1672,Baroque,Continuity and Dispersion,,29,0
LopedeZarate_Sonetos,LopedeZarate_Sonetos,"<[1580.0, 1658.0]>",[LopedeZarate],1,1580,1658,1658,8,248,4,0.449438,0.533333,7.365.065,1580,,Culmination,Baroque,78,0
LuisdeUlloayPereira_Sonetos,LuisdeUlloayPereira_Sonetos,"<[1584.0, 1674.0]>",[LuisdeUlloayPereira],4,1584,1674,1674,8,252,4,0.444444,0.533333,7.172.511,1584,,Continuity and Dispersion,Baroque,90,0
Quevedo_Sonetos,Quevedo_Sonetos,"<[1580.0, 1645.0]>",[Quevedo],0,1580,1645,1645,13,360,4,0.493827,0.608333,2.337.146,1580,Baroque,Baroque,Baroque,65,0
SorJuanaInesdelaCruz_Sonetos,SorJuanaInesdelaCruz_Sonetos,"<[1648.0, 1695.0]>",[SorJuanaInesdelaCruz],1,1648,1695,1695,8,256,3,0.47619,0.55,33.207.078,1648,Baroque,Continuity and Dispersion,Baroque,47,0
AN_SonetosP2,AN_SonetosP2,"<[1619.0, 1619.0]>",[AN],2,1619,1619,1619,8,274,3,0.470588,0.545833,18.366.204,1619,,,,0,1
FranciscodeFigueroa_Sonetos,FranciscodeFigueroa_Sonetos,"<[1530.0, 1588.0]>",[FranciscodeFigueroa],5,1530,1588,1589,8,126,4,0.449438,0.533333,31.631.555,1536,Transition,Renovation,Renaissance,53,2
FranciscoDelaTorre_Sonetos,FranciscoDelaTorre_Sonetos,"<[1534.0, 1594.0]>",[FranciscoDelaTorre],6,1534,1594,1594,8,232,3,0.5,0.566667,30.028.259,1534,Transition,Renovation,Renaissance,60,1
GutierredeCetina_Sonetos,GutierredeCetina_Sonetos,"<[1520.0, 1557.0]>",[GutierredeCetina],5,1520,1557,1554,10,310,4,0.408163,0.525,25.727.964,1510,Renaissance,Innovation,Renaissance,44,2
Herrera_Sonetos,Herrera_Sonetos,"<[1534.0, 1597.0]>",[Herrera],2,1534,1597,1597,9,276,3,0.481928,0.5625,19.612.856,1534,Transition,Renovation,Renaissance,63,1
JuandeArguijo_Sonetos,JuandeArguijo_Sonetos,"<[1567.0, 1623.0]>",[JuandeArguijo],2,1567,1623,1623,9,294,3,0.493827,0.570833,24.685.248,1567,Transition,Transition,Baroque,56,1
JuandeJauregui_Sonetos,JuandeJauregui_Sonetos,"<[1583.0, 1641.0]>",[JuandeJauregui],2,1583,1641,1641,10,192,3,0.519481,0.595833,25.549.134,1583,Baroque,Transition,Baroque,58,1
