Author,Date,Poems,Words,
"Acuña, Hernando de ",1518-1580,84,7885,
"Aldana, Francisco de ",1537-1578,43,4231,
"Almeida, Juan de",1542-1572,42,4036,
"Argensola, Bartolomé",1562-1631,158,14654,
"Argensola, Lupercio",1559-1613,60,5507,
"Arguijo, Juan de",1567-1623,70,6290,
"Bocángel y Unzueta",1603-1658,77,7166,
"Borja, Francisco de",1581-1658,142,12903,
"Boscán, Juan",1490-1542,100,9589,
"Carrillo y Sotomayor, Luis",1585-1610,50,4747,
"Cervantes, Miguel de",1547-1616,77,7347,
"Cetina, Gutierre de",1520-1557,247,23762,
"Cruz, Sor Juana Inés de la",1651-1695,72,6556,
"Enríquez Gómez, Antonio",1601-1661,40,3537,
"Espinosa, Pedro",1578-1650,20,1845,
"Figueroa, Francisco de",1530-1588,20,1826,
"Góngora, Luis de",1561-1627,115,10370,
"Herrera, Fernando de",1534-1597,181,16958,
"Hurtado de Mendoza, Diego",1503-1575,60,5542,
"Jáuregui, Juan de",1583-1641,23,2073,
"Litala y Castelví, José de",1672-1701,152,13464,
"López de Zárate, Francisco",1580-1658,58,5350,
"Martín de la Plaza, Luis",1577-1625,21,2040,
"Medrano, Francisco de",1570-1607,51,4852,
"Mira de Amescua, Antonio",1577-1644,32,3009,
"Molina, Tirso de",1579-1648,56,5230,
"Pacheco, Francisco",1564-1644,22,2028,
"Padilla, Pedro de",1540-1600,43,3964,
"Polo de Medina, Salvador Jacinto",1603-1676,21,1891,
"Quevedo, Francisco de",1580-1645,517,46681,
"Rebolledo, Bernardino de",1597-1676,54,4470,
"Salazar y Torres, Agustín de",1636-1675,30,2723,
"Soto de Rojas, Pedro",1584-1658,125,11505,
"Tassis y Peralta, Juan de",1582-1622,203,17841,
"Timoneda, Juan de",1490-1583,31,2825,
"Torre, Francisco de la",1534-1594,78,7008,
"Trillo y Figueroa, Francisco de",1618-1680,49,4382,
"Ulloa y Pereira, Luis",1584-1674,106,8956,
"Vega, Félix Lope de",1562-1635,1346,74504,
"Vega, Garcilaso de la",1501-1536,38,3584,
"Ximénez Ayllon, Diego",1530-1590,55,4896,
